official,pct,remove,org,orgname,orgtype,filename,url,package_name,package_title
1,0.2773861994,,44000,World Bank Group,40,GH-44000.xml,http://siteresources.worldbank.org/IATI/WB-GH.xml,GH-44000,GH Activity file 44000
1,0.1059831195,,US,United States,10,GH-US.xml,http://datafagov.azurewebsites.net/Activities/Ghana.xml,GH-US,GH Activity file US
1,0.085894256,,46002,African Development Bank Group,40,GH-46002.xml,,GH-46002,GH Activity file 46002
1,0.0450545137,,DE-1,BMZ,10,GH-DE-1.xml,,GH-DE-1,GH Activity file DE-1
1,0.0400581717,,GB-1,Department for International Development,10,GH-GB-1.xml,http://iati.dfid.gov.uk/iati_files/Country/DFID-Ghana-GH.xml,GH-GB-1,GH Activity file GB-1
1,0.0381952499,,DK-1,"Ministry of Foreign Affairs, Denmark",10,GH-DK-1.xml,,GH-DK-1,GH Activity file DK-1
1,0.0357738085,,EU,European Commission - Development and Cooperation-EuropeAid,15,GH-EU.xml,,GH-EU,GH Activity file EU
1,0.0298299459,,NL-1,Ministry of Foreign Affairs (DGIS),10,GH-NL-1.xml,,GH-NL-1,GH Activity file NL-1
1,0.0287485948,,XM-DAC-701-8,Japan International Cooperation Agency (JICA),10,GH-XM-DAC-701-8.xml,,GH-XM-DAC-701-8,GH Activity file XM-DAC-701-8
1,0.0241180564,,CA-3,Canada,10,GH-CA-3.xml,,GH-CA-3,GH Activity file CA-3
1,0.0126907086,,47122,The Global Alliance for Vaccination and Immunisation,40,GH-47122.xml,,GH-47122,GH Activity file 47122
1,0.0095519352,,47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",40,GH-47045.xml,,GH-47045,GH Activity file 47045
1,0.0085901394,,DAC-1601,Bill and Melinda Gates Foundation,60,GH-DAC-1601.xml,,GH-DAC-1601,GH Activity file DAC-1601
1,0.0048446673,,41122,UNICEF,40,GH-41122.xml,,GH-41122,GH Activity file 41122
1,0.0040452526,,FI-3,Ministry for Foreign Affairs of Finland,10,GH-FI-3.xml,,GH-FI-3,GH Activity file FI-3
1,0.0032511911,,41114,United Nations Development Programme,40,GH-41114.xml,http://www.undp.org/content/dam/undp/documents/iati_xml/CO_2014/Ghana_projects.xml,GH-41114,GH Activity file 41114
1,0.0017968987,,41119,United Nations Population Fund,40,GH-41119.xml,,GH-41119,GH Activity file 41119
1,0.0016309488,,AU-5,Australian Aid,10,GH-AU-5.xml,,GH-AU-5,GH Activity file AU-5
1,0.0011009796,,ES-5,"Ministry of Foreign Affairs and Cooperation, Spain",10,GH-ES-5.xml,,GH-ES-5,GH Activity file ES-5
1,0.0001623811,,NZ-1,Ministry of Foreign Affairs and Trade,10,GH-NZ-1.xml,,GH-NZ-1,GH Activity file NZ-1
1,0.0001177709,,SE-0,Sweden,10,GH-SE-0.xml,http://iati.openaid.se/xml/GH.xml,GH-SE-0,GH Activity file SE-0
