test,success,fail,percentage_avg,percentage_weighted_avg
5 - Sub-national location,2527.0,1438.0,18.041310500179407,35.966989574348794
4 - Type of implementing org,482.0,3566.0,33.086853095535766,12.509255797975065
2 - Results,161.0,3887.0,17.675393389679105,8.722037412313131
3 - Fwd budgets,246.0,1637.0,28.540197423699922,23.961995556184323
5 - Sector,1513.0,2543.0,89.12927996083783,66.9455887402398
1 - Economic classification,253.0,3725.0,8.348997493734336,7.627645362302632
4 - Disbursement channel,2618.0,1430.0,27.5255738322592,23.4933934932692
3 - Conditionality,640.0,3408.0,37.459822372536095,32.86119913534157
2 - Evaluations,31.0,3245.0,14.420180489047059,28.05836187260728
1 - Functional/administrative classification,449.0,3529.0,16.516647309330235,8.033038804947584
1 - Pipeline/identification projects,8.0,4048.0,14.285714285714285,26.41549172
